experiment,first_epoch,last_epoch,image_index,signed_cosine,signed_cosine_distance,magnitude_cosine,magnitude_cosine_distance,magnitude_pearson,relative_l1,top_k_overlap
sgd_no_momentum,150,300,0,0.9940805809255668,0.005919419074433163,0.9940805809255668,0.005919419074433163,0.9734283210809981,0.15593482553958893,0.6190476190476191
sgd_no_momentum,150,300,1,0.9915338737396657,0.008466126260334272,0.9915338737396657,0.008466126260334272,0.8795657112502201,0.16994740068912506,0.046153846153846156
sgd_no_momentum,150,300,2,0.9794491192309658,0.02055088076903422,0.9794491192309658,0.02055088076903422,0.8538865325447627,0.1894398331642151,0.5111111111111111
sgd_no_momentum,150,300,3,0.977358599490551,0.02264140050944896,0.977358599490551,0.02264140050944896,0.8356722075065144,0.2216169685125351,0.13966480446927373
sgd_no_momentum,150,300,4,0.9446058319843519,0.055394168015648115,0.9446058319843519,0.055394168015648115,0.6476592552229445,0.4734525680541992,0.10869565217391304
sgd_no_momentum,150,300,5,0.9498298202325427,0.0501701797674573,0.9498298202325427,0.0501701797674573,0.6506511299317371,0.4682809114456177,0.19298245614035087
sgd_no_momentum,150,300,6,0.9639445704568146,0.03605542954318541,0.9639445704568146,0.03605542954318541,0.7737963139467108,0.35476601123809814,0.009900990099009901
sgd_no_momentum,150,300,8,0.9948581110172298,0.005141888982770237,0.9948581110172298,0.005141888982770237,0.9703343938184807,0.15080603957176208,0.5
sgd_no_momentum,150,300,9,0.9724690787167577,0.027530921283242304,0.9724690787167577,0.027530921283242304,0.7729851797871586,0.3398507833480835,0.02512562814070352
sgd_no_momentum,150,300,10,0.9791777472478674,0.020822252752132564,0.9791777472478674,0.020822252752132564,0.8093711854870983,0.25218138098716736,0.13333333333333333
sgd_no_momentum,150,300,11,0.977685894615245,0.02231410538475498,0.977685894615245,0.02231410538475498,0.7253819033676552,0.2294732928276062,0.13966480446927373
sgd_no_momentum,150,300,12,0.9404171390603088,0.05958286093969123,0.9404171390603088,0.05958286093969123,0.6944389793427695,0.4273909628391266,0.0625
sgd_no_momentum,150,300,13,0.9669538569793129,0.03304614302068709,0.9669538569793129,0.03304614302068709,0.8181654234197409,0.33536776900291443,0.0
sgd_no_momentum,150,300,14,0.9876511596883292,0.012348840311670828,0.9876511596883292,0.012348840311670828,0.8995749812925478,0.1728527992963791,0.10869565217391304
sgd_no_momentum,150,300,16,0.9695854746338046,0.030414525366195377,0.9695854746338046,0.030414525366195377,0.8347830550929869,0.3064068853855133,0.12087912087912088
sgd_no_momentum,150,300,17,0.8749325594327704,0.12506744056722963,0.8749325594327704,0.12506744056722963,0.7084613033725466,0.7508561015129089,0.046153846153846156
sgd_no_momentum,150,300,22,0.955786338142738,0.044213661857262054,0.955786338142738,0.044213661857262054,0.7248066236771198,0.2713470757007599,0.6190476190476191
sgd_no_momentum,150,300,25,0.9918852484732259,0.0081147515267741,0.9918852484732259,0.0081147515267741,0.9413373847020563,0.13407619297504425,0.4676258992805755
sgd_no_momentum,150,300,26,0.9102417832647648,0.08975821673523521,0.9102417832647648,0.08975821673523521,0.7162534656393987,0.4310925304889679,0.2670807453416149
sgd_no_momentum,150,300,35,0.9605729325969,0.03942706740309998,0.9605729325969,0.03942706740309998,0.947469258609823,0.2959989607334137,0.6585365853658537
